row_num,chain,project,symbol,rewardTokens,pool,stablecoin,ilRisk,exposure,poolMeta,underlyingTokens
1,Ethereum,lido,STETH,None,747c1d2a-c668-4682-b9f9-296708a3dd90,FALSE,no,single,,None
2,Tron,justlend,BTC,TPYmHEhy5n8TCEfYGqW2rPxsghSfzghPDn,71418c17-d2aa-4eff-b68a-806fff9ec951,FALSE,no,single,,TN3W4H6rK2ce4vX9YnFQHwKENnHjoxb3m9
3,Ethereum,makerdao,USDC,None,051c1a54-df05-4bc4-9d73-c17508acae23,TRUE,no,single,PSM-USDC-A,None
4,Ethereum,coinbase-wrapped-staked-eth,CBETH,None,0f45d730-b279-4629-8e11-ccb5cc3038b4,FALSE,no,single,,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
5,Ethereum,curve,ETH-STETH,"0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32, 0xD533a949740bb3306d119CC777fa900bA034cd52",57d30b9c-fc66-4ac2-b666-69ad5f410cce,FALSE,no,multi,,"0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE, 0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84"
6,Ethereum,aave-v2,STETH,None,0e458a5b-fd99-4667-8706-dd938934cb0c,FALSE,no,single,,0xae7ab96520de3a18e5e111b5eaab095312d7fe84
7,Ethereum,makerdao,WETH,None,51d2f8d4-1fb5-4f6b-938b-e9cd17ca1ceb,FALSE,no,single,ETH-C,None
8,Ethereum,convex-finance,ETH-STETH,"0xd533a949740bb3306d119cc777fa900ba034cd52, 0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b, 0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32",5ce23e7e-3800-4c9c-ad30-6db3db0515a1,FALSE,no,multi,,"0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE, 0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84"
9,Ethereum,makerdao,WETH,None,54600482-cfb9-4dd9-a73b-342cffd4644a,FALSE,no,single,ETH-A,None
10,Ethereum,aave-v2,WETH,None,f2726d05-1f8d-4b9c-80e3-43d03d85d117,FALSE,no,single,,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
11,Ethereum,rocket-pool,RETH,None,d4b3c522-6127-4b89-bedf-83641cdcd2eb,FALSE,no,single,,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
12,Ethereum,makerdao,WSTETH,None,51eb4b5c-6d62-42fe-99d6-92ba6eecd2d5,FALSE,no,single,WSTETH-A,None
13,Ethereum,liquity,WETH,None,ddd25534-e3d5-4e4e-9b99-d3102323ac61,FALSE,no,single,,None
14,Ethereum,aave-v2,WBTC,None,40e0d8b7-5eba-4d6c-a3c2-9ac375bcd4bf,FALSE,no,single,,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599
15,Ethereum,curve,DAI-USDC-USDT,0xD533a949740bb3306d119CC777fa900bA034cd52,25171c4c-1877-449a-9f88-45a9f153ee31,TRUE,no,multi,,"0x6B175474E89094C44Da98b954EedeAC495271d0F, 0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48, 0xdAC17F958D2ee523a2206206994597C13D831ec7"
16,Ethereum,curve,FRAX-USDC,0xD533a949740bb3306d119CC777fa900bA034cd52,3f6aa14f-eb0c-4738-bf74-8bc666f7d2b1,TRUE,no,multi,,"0x853d955aCEf822Db058eb8505911ED77F175b99e, 0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48"
17,Ethereum,makerdao,GUSD,None,efbf1a35-0756-41b1-b230-166ed4809314,TRUE,no,single,PSM-GUSD-A,None
18,Ethereum,curve,FRAX-3CRV,0xD533a949740bb3306d119CC777fa900bA034cd52,8d989d6c-99ba-447e-8f3d-3aca98e993fd,TRUE,no,multi,,"0x853d955aCEf822Db058eb8505911ED77F175b99e, 0x6c3F90f043a72FA612cbac8115EE7e52BDe6E490"
19,Ethereum,convex-finance,FRAX-3CRV,"0xd533a949740bb3306d119cc777fa900ba034cd52, 0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b, 0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0",844a8a29-4653-42e6-b675-a6b43fac3678,TRUE,no,multi,,"0x853d955aCEf822Db058eb8505911ED77F175b99e, 0x6c3F90f043a72FA612cbac8115EE7e52BDe6E490"
20,Ethereum,compound,WETH,,1e5da7c6-59bb-49bd-9f97-4f4fceeffad4,FALSE,no,single,,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
21,Ethereum,makerdao,PAX,None,6ece81c6-2b1d-4513-ad1c-eaf9d52f67cb,FALSE,no,single,PSM-PAX-A,None
22,Arbitrum,gmx,GLP,0xfc5A1A6EB076a2C7aD06eD22C90d7E710E35ad0a,825688c0-c694-4a6b-8497-177e425b7348,FALSE,yes,single,,0x4277f8F2c384827B5273592FF7CeBd9f2C1ac258
23,Ethereum,makerdao,WSTETH,None,ccc467d1-bdf5-4062-81cd-7aed7dd9050b,FALSE,no,single,WSTETH-B,None
24,Ethereum,convex-finance,FRAX-USDC,"0xd533a949740bb3306d119cc777fa900ba034cd52, 0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b",bd072651-d99c-4154-aeae-51f12109c054,TRUE,no,multi,,"0x853d955aCEf822Db058eb8505911ED77F175b99e, 0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48"
25,BSC,venus,WBNB,0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63,747b58ab-aefd-42e1-a312-01ad5a0ab7f5,FALSE,no,single,,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c
26,Arbitrum,gmx,GMX,0xfc5A1A6EB076a2C7aD06eD22C90d7E710E35ad0a,4df7d373-6214-4a73-9bd3-ca6e5683d846,FALSE,no,single,,0xfc5A1A6EB076a2C7aD06eD22C90d7E710E35ad0a
27,Ethereum,compound,WBTC,,1d876729-4445-4623-8b6b-c5290db5d100,FALSE,no,single,,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599
28,Ethereum,convex-finance,CVX,0x62B9c7356A2Dc64a1969e19C23e4f579F9810Aa7,777032e6-e815-4f44-90b4-abb98f0f9632,FALSE,no,single,,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B
29,Ethereum,compound,DAI,0xc00e94cb662c3520282e6f5717214004a7f26888,cc110152-36c2-4e10-9c12-c5b4eb662143,TRUE,no,single,,0x6B175474E89094C44Da98b954EedeAC495271d0F
30,Ethereum,aave-v2,USDC,None,a349fea4-d780-4e16-973e-70ca9b606db2,TRUE,no,single,,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
31,Polygon,autofarm,PAUTO-WETH,None,8825504b-1d5d-439f-94b2-f0cfb9fd5695,FALSE,yes,multi,Magician,0xCecc7e26d0987281b7dA1E3c757161Ed6B20AF6f
32,Ethereum,compound,USDC,0xc00e94cb662c3520282e6f5717214004a7f26888,cefa9bb8-c230-459a-a855-3b94e96acd8c,TRUE,no,single,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48
33,Ethereum,balancer,WSTETH-WETH,0xba100000625a3754423978a60c9317c58a424e3d,4cc5df76-f81d-49fe-9e1e-4caa6a8dad0b,FALSE,no,multi,,"0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"
34,BSC,venus,BTCB,0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63,87c8ee0d-b812-47c1-803f-f91a3907079e,FALSE,no,single,,0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c
35,Ethereum,balancer,BAL-WETH,None,30eedaf4-83f7-418b-985b-89478d4b90e6,FALSE,yes,multi,,"0xba100000625a3754423978a60c9317c58a424e3d, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"
36,Ethereum,uniswap-v3,DAI-USDC,None,1193ef25-862b-43c1-a545-91bbb9678d30,TRUE,no,multi,0.01%,"0x6b175474e89094c44da98b954eedeac495271d0f, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48"
37,Tron,justlend,USDD,TPYmHEhy5n8TCEfYGqW2rPxsghSfzghPDn,53b3663f-9096-49df-8787-f6ea3b6d0612,TRUE,no,single,,TPYmHEhy5n8TCEfYGqW2rPxsghSfzghPDn
38,Ethereum,arrakis-finance,DAI-USDC,None,94c6fd56-9837-4202-9ece-db02a9ac1171,TRUE,no,multi,,"0x6b175474e89094c44da98b954eedeac495271d0f, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48"
39,Ethereum,makerdao,G-UNI,None,f38a1e55-ee6a-427c-83b5-74232e1b2c24,FALSE,yes,multi,GUNIV3DAIUSDC2-A,None
40,Tron,justlend,USDC,TPYmHEhy5n8TCEfYGqW2rPxsghSfzghPDn,fa2f8727-4234-4394-ae55-588d97307b34,TRUE,no,single,,TEkxiTehnzSmSe2XqrBj4w32RUN966rdz8
41,Ethereum,aura,WSTETH-WETH,"0xba100000625a3754423978a60c9317c58a424e3d, 0xc0c293ce456ff0ed870add98a0828dd4d2903dbf",6429fd3b-af61-4e15-a4b4-34819fb8f4ea,FALSE,no,multi,,"0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"
42,Ethereum,curve,FRAX-FPI,0xD533a949740bb3306d119CC777fa900bA034cd52,b03c1486-fde6-4f75-a89a-068f9aa19d0f,TRUE,no,multi,,"0x853d955aCEf822Db058eb8505911ED77F175b99e, 0x5Ca135cB8527d76e932f34B5145575F9d8cbE08E"
43,Ethereum,convex-finance,FRAX-FPI,"0xd533a949740bb3306d119cc777fa900ba034cd52, 0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b",b302f3bb-ceb3-4121-95a6-6bb1fdb42326,TRUE,no,multi,,"0x853d955aCEf822Db058eb8505911ED77F175b99e, 0x5Ca135cB8527d76e932f34B5145575F9d8cbE08E"
44,Ethereum,uniswap-v3,DAI-USDC,None,26298be5-691a-42e6-817b-07f72e70cd4f,TRUE,no,multi,0.05%,"0x6b175474e89094c44da98b954eedeac495271d0f, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48"
45,Ethereum,uniswap-v3,WBTC-WETH,None,c5599b3a-ea73-4017-a867-72eb971301d1,FALSE,yes,multi,0.30%,"0x2260fac5e5542a773aa44fbcfedf7c193bc2c599, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"
46,Ethereum,arrakis-finance,DAI-USDC,None,2431aeec-d0b9-4e62-ab5e-ff8718ad45fc,TRUE,no,multi,,"0x6b175474e89094c44da98b954eedeac495271d0f, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48"
47,Ethereum,makerdao,G-UNI,None,1b91b7d4-0438-41ee-8224-41adba87422d,FALSE,yes,multi,GUNIV3DAIUSDC1-A,None
48,BSC,pancakeswap,CAKE-WBNB,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,32038bbe-b72d-49ab-aa17-37d61d44c579,FALSE,yes,multi,,"0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82, 0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c"
49,Ethereum,convex-finance,CVXCRV,"0xd533a949740bb3306d119cc777fa900ba034cd52, 0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b, 0x6c3F90f043a72FA612cbac8115EE7e52BDe6E490",ef32dd3b-a03b-4f79-9b65-8420d7e04ad0,FALSE,yes,single,,0xD533a949740bb3306d119CC777fa900bA034cd52
50,Ethereum,makerdao,WETH,None,44c94cb2-8af3-4b7a-8cb5-0784ddcf3471,FALSE,no,single,ETH-B,None
51,Tron,justlend,USDT,TPYmHEhy5n8TCEfYGqW2rPxsghSfzghPDn,dac406f6-5600-437e-849d-f03daa383864,TRUE,no,single,,TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t
52,Ethereum,uniswap-v3,USDC-WETH,None,665dc8bc-c79d-4800-97f7-304bf368e547,FALSE,yes,multi,0.05%,"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"
53,BSC,alpaca-finance,BNB,None,392a0641-c3e2-460f-82a8-fabf02bddb96,FALSE,no,single,,None
54,Ethereum,uniswap-v3,USDC-WETH,None,49717ee2-9808-4288-b76d-e658195b7979,FALSE,yes,multi,0.30%,"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"
55,Ethereum,makerdao,MATIC,None,dd1a7465-3151-430b-b4b7-939bc958ea52,FALSE,no,single,MATIC-A,None
56,Ethereum,curve,USDT-WBTC-WETH,0xD533a949740bb3306d119CC777fa900bA034cd52,9e4dbe67-f5fc-4428-8e6f-93d464f40a0d,FALSE,yes,multi,,"0xdAC17F958D2ee523a2206206994597C13D831ec7, 0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599, 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2"
57,BSC,pancakeswap,WBNB-BUSD,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,1ba6ccca-7122-47ce-854e-06883f9b2897,FALSE,yes,multi,,"0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c, 0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56"
58,Ethereum,compound-v3,WETH,None,072f6554-daa7-4708-80ba-371b896a89db,FALSE,no,single,USDC-pool,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
59,Ethereum,makerdao,WBTC,None,4dab1166-614a-429a-831f-4af70fd29c7d,FALSE,no,single,WBTC-C,None
60,Tron,justlend,USDJ,TPYmHEhy5n8TCEfYGqW2rPxsghSfzghPDn,22b4985a-d97b-40a4-ae97-37f9351a9d91,TRUE,no,single,,TMwFHYXLJaRUPeW6421aqXL4ZEzPRFGkGT
61,Ethereum,convex-finance,USDT-WBTC-WETH,"0xd533a949740bb3306d119cc777fa900ba034cd52, 0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b",ad3d7253-fb8f-402f-a6f8-821bc0a055cb,FALSE,yes,multi,,"0xdAC17F958D2ee523a2206206994597C13D831ec7, 0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599, 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2"
62,Ethereum,morpho-aave,STETH,None,eab8d63d-8a8f-48cb-8027-583508831d24,FALSE,no,single,,0xae7ab96520de3a18e5e111b5eaab095312d7fe84
63,Ethereum,frax-ether,FRXETH,None,77020688-e1f9-443c-9388-e51ace15cc32,FALSE,no,single,,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
64,BSC,pancakeswap,USDT-WBNB,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,a3878e88-0c9f-49ef-adbc-da5fe048192d,FALSE,yes,multi,,"0x55d398326f99059fF775485246999027B3197955, 0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c"
65,Ethereum,morpho-aave,WETH,None,7be52986-18c2-450f-b74b-d65fb1205bbf,FALSE,no,single,,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
66,Ethereum,uniswap-v3,WBTC-WETH,None,d59a5728-d391-4989-86f6-a94e11e0eb3b,FALSE,yes,multi,0.05%,"0x2260fac5e5542a773aa44fbcfedf7c193bc2c599, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"
67,Ethereum,curve,ETH-FRXETH,0xD533a949740bb3306d119CC777fa900bA034cd52,1158e728-ec4c-44e4-9345-0eb326862516,FALSE,no,multi,,"0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE, 0x5E8422345238F34275888049021821E8E08CAa1f"
68,Ethereum,curve,MIM-3CRV,"0x090185f2135308BaD17527004364eBcC2D37e5F6, 0xD533a949740bb3306d119CC777fa900bA034cd52",fb6676ba-0a45-44c8-86f6-63956956ebe1,TRUE,no,multi,,"0x99D8a9C45b2ecA8864373A26D1459e3Dff1e17F3, 0x6c3F90f043a72FA612cbac8115EE7e52BDe6E490"
69,Ethereum,convex-finance,MIM-3CRV,"0xd533a949740bb3306d119cc777fa900ba034cd52, 0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b",8a20c472-142c-4442-b724-40f2183c073e,TRUE,no,multi,,"0x99D8a9C45b2ecA8864373A26D1459e3Dff1e17F3, 0x6c3F90f043a72FA612cbac8115EE7e52BDe6E490"
70,BSC,alpaca-finance,IBBNB,None,7e5c4afb-38fb-42ff-a033-19712c4e5911,FALSE,no,single,,None
71,Ethereum,aave-v2,AAVE,None,9dcf5fc8-ed89-404b-bd69-77fb2fea6a75,FALSE,no,single,,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9
72,Ethereum,stakewise,SETH2,None,66958f46-1d06-4f83-9fab-bbec354049d8,FALSE,no,single,,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
73,Ethereum,yearn-finance,WETH,None,acb09b67-8509-4e2a-adb4-4ce520084714,FALSE,no,single,,None
74,Ethereum,uniswap-v2,WISE-WETH,None,8ac917c6-12fa-49df-aa0b-ced2ebe54e91,FALSE,yes,multi,,"0x66a0f676479cee1d7373f3dc2e2952778bff5bd6, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"
75,Defichain,defichain-dex,BTC-DFI,DFI,8911005c-3542-48e6-8f53-7f08a5ce96d8,FALSE,yes,multi,,None
76,Ethereum,fraxlend,CRV,None,77558d02-985c-4e63-a200-7c10e87fa2ab,FALSE,no,single,,None
77,Ethereum,curve,FXS-CVXFXS,0xD533a949740bb3306d119CC777fa900bA034cd52,deb4dac6-3d01-4d1a-8d9a-47678d446033,FALSE,yes,multi,,"0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0, 0xFEEf77d3f69374f66429C91d732A244f074bdf74"
78,Ethereum,convex-finance,FXS-CVXFXS,"0xd533a949740bb3306d119cc777fa900ba034cd52, 0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b, 0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B, 0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0",919bf4d2-3129-475a-8914-4e3f02d8574e,FALSE,yes,multi,,"0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0, 0xFEEf77d3f69374f66429C91d732A244f074bdf74"
79,Ethereum,makerdao,WBTC,None,bd335b46-3daf-4507-adb2-6fd4337ea33b,FALSE,no,single,WBTC-A,None
80,Waves,vires-finance,USDN,DSbbhLsSTeDg5Lsiufk2Aneh3DjVqJuPr2M9uU1gwy5p,c2114fbd-b853-48a3-92fc-a87deb842c90,FALSE,no,single,,None
81,Ethereum,uniswap-v3,FRAX-USDC,None,d371fc69-9a77-4336-a129-ec79c9548266,TRUE,no,multi,0.05%,"0x853d955acef822db058eb8505911ed77f175b99e, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48"
82,Ethereum,uniswap-v3,USDC-USDM,None,c4be590f-5ea3-44da-b97e-e0de83b4d2f1,FALSE,yes,multi,"0.05%, stablePool=false","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48, 0xbbaec992fc2d637151daf40451f160bf85f3c8c1"
83,BSC,venus,ETH,0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63,de8928ad-d03a-423d-92d7-3c4648e3ffd2,FALSE,no,single,,0x2170Ed0880ac9A755fd29B2688956BD959F933F8
84,Ethereum,euler,WSTETH,0xd9fcd98c322942075a5c3860693e9f4f03aae07b,1e31049a-403b-4029-a662-4342e70c20b8,FALSE,no,single,,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0
85,Ethereum,ankr,ANKRETH,None,e201dbed-63fa-48e2-bfa2-f56e730167d2,FALSE,no,single,,None
86,Ethereum,uniswap-v2,USDC-WETH,None,702fff16-4bfa-4c1f-8c02-e0ea0f5ecde6,FALSE,yes,multi,,"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"
87,Ethereum,looksrare,LOOKS,"0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2, 0xf4d2888d29D722226FafA5d9B24F9164c092421E",040bed9b-d848-4359-84d0-5b3e2ef00f74,FALSE,no,single,Standard Staking,0xf4d2888d29D722226FafA5d9B24F9164c092421E
88,Cronos,vvs-finance,VVS-WCRO,0x2d03bece6747adc00e1a131bba1469c15fd11e03,2fca7a84-651c-440a-beb3-eced492a7bea,FALSE,yes,multi,,"0x2d03bece6747adc00e1a131bba1469c15fd11e03, 0x5c7f8a570d578ed84e63fdfa7b1ee72deae1ae23"
89,Ethereum,frax,FPI-FRAX,None,a61791ea-2886-4428-991c-7181d26a6062,TRUE,no,multi,,"0x5Ca135cB8527d76e932f34B5145575F9d8cbE08E, 0x853d955aCEf822Db058eb8505911ED77F175b99e"
90,Ethereum,aave-v2,LINK,None,c74dbae9-076e-45e2-8d09-8349c538a110,FALSE,no,single,,0x514910771af9ca656af840dff83e8264ecf986ca
91,Polygon,balancer,WMATIC-STMATIC,"0x9a71012b13ca4d3d0cdc72a177df3ef03b0e76a3, 0xc3c7d422809852031b44ab29eec9f1eff2a58756",2e626dc6-0078-4ea6-932e-eabae386ddeb,FALSE,no,multi,,"0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270, 0x3a58a54c066fdc0f2d55fc9c89f0415c92ebf3c4, 0x8159462d255c1d24915cb51ec361f700174cd994"
92,Avalanche,aave-v3,USDC,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,c4b05318-88af-4536-a834-f5fc8940d2d3,TRUE,no,single,,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e
93,Polygon,lido,STMATIC,None,bf3a7f07-80a0-4d5b-a311-b0f06f650f83,FALSE,no,single,,None
94,Polygon,aave-v2,WETH,None,77487d28-2994-43c3-92f2-7d62df787b70,FALSE,no,single,,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619
95,Ethereum,compound-v3,WBTC,None,c1ca08e4-d618-415e-ad63-fcec58705469,FALSE,no,single,USDC-pool,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599
96,BSC,pancakeswap,ETH-WBNB,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,f6b2ec4d-e94f-4c7b-b7a1-303de1428b57,FALSE,yes,multi,,"0x2170Ed0880ac9A755fd29B2688956BD959F933F8, 0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c"
97,Ethereum,goldfinch,USDC,0xdab396cCF3d84Cf2D07C4454e10C8A6F5b008D2b,c89af47f-032a-4c59-bdc9-17a7f1514a3b,TRUE,no,single,,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
98,BSC,alpaca-finance,BNB-USDT,None,0cefd193-63ba-4afc-adf0-f34172cd02f2,FALSE,yes,multi,PancakeSwap,None
99,Ethereum,curve,WETH-CRV,0xD533a949740bb3306d119CC777fa900bA034cd52,a38fc67a-62af-4ee9-a71d-8d9ac7a37bf5,FALSE,yes,multi,,"0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2, 0xD533a949740bb3306d119CC777fa900bA034cd52"
100,Avalanche,aave-v3,BTC.B,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,94e3f442-ab03-4138-a7a8-910bac548058,FALSE,no,single,,0x152b9d0fdc40c096757f570a51e494bd4b943e50
101,Osmosis,osmosis-dex,ATOM-OSMO,None,96a3a6f8-cb13-4803-ba76-7d9fbee24f7c,FALSE,yes,multi,7day,None
102,Osmosis,osmosis-dex,ATOM-OSMO,None,f95b5e6e-6343-4bb6-9c07-390989011cce,FALSE,yes,multi,1day,None
103,Ethereum,uniswap-v3,WETH-USDT,None,fc9f488e-8183-416f-a61e-4e5c571d4395,FALSE,yes,multi,0.30%,"0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, 0xdac17f958d2ee523a2206206994597c13d831ec7"
104,Osmosis,osmosis-dex,ATOM-OSMO,"OSMO, ECH",4ced8c2d-67c4-4555-b025-be49c110ca58,FALSE,yes,multi,14day,None
105,Avalanche,gmx,GLP,0x62edc0692BD897D2295872a9FFCac5425011c661,6a3ddb91-0638-4454-97c1-86dc6d59f32c,FALSE,yes,single,,0x01234181085565ed162a948b6a5e88758CD7c7b8
106,Ethereum,balancer,RETH-WETH,0xba100000625a3754423978a60c9317c58a424e3d,42c02674-f7a2-4cb0-be3d-ade268838770,FALSE,no,multi,,"0xae78736cd615f374d3085123a210448e74fc6393, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"
107,Ethereum,aave-v2,USDT,None,60d657c9-5f63-4771-a85b-2cf8d507ec00,TRUE,no,single,,0xdac17f958d2ee523a2206206994597c13d831ec7
108,Cronos,vvs-finance,USDT-USDC,0x2d03bece6747adc00e1a131bba1469c15fd11e03,13b0db7c-491b-47d5-a2fb-e5af0a17b1d1,TRUE,no,multi,,"0x66e428c3f67a68878562e79a0234c1f83c208770, 0xc21223249ca28397b4b6541dffaecc539bff0c59"
109,Ethereum,convex-finance,WETH-CRV,"0xd533a949740bb3306d119cc777fa900ba034cd52, 0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b",caad8223-bae8-4ef4-bdf3-c12cc55c94e3,FALSE,yes,multi,,"0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2, 0xD533a949740bb3306d119CC777fa900bA034cd52"
110,Ethereum,compound,USDT,0xc00e94cb662c3520282e6f5717214004a7f26888,57647093-2868-4e65-97ab-9cae8ec74e7d,TRUE,no,single,,0xdAC17F958D2ee523a2206206994597C13D831ec7
111,Ethereum,morpho-aave,USDC,None,325ad2d6-70b1-48d7-a557-c2c99a036f87,TRUE,no,single,,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
112,Ethereum,curve,DAI-USDC-USDT-SUSD,0xD533a949740bb3306d119CC777fa900bA034cd52,985b3a44-495f-4250-bde3-7b2299036e3e,TRUE,no,multi,,"0x6B175474E89094C44Da98b954EedeAC495271d0F, 0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48, 0xdAC17F958D2ee523a2206206994597C13D831ec7, 0x57Ab1ec28D129707052df4dF418D58a2D46d5f51"
113,BSC,ankr,ANKRBNB,None,76ce5019-2483-4d1b-ae06-01b890360045,FALSE,no,single,,None
114,Ethereum,looksrare,LOOKS,0xf4d2888d29D722226FafA5d9B24F9164c092421E,134bd90b-be1b-496d-9fea-8b8a50fc8dbf,FALSE,no,single,LOOKS Compounder,0xf4d2888d29D722226FafA5d9B24F9164c092421E
115,Ethereum,aave-v2,DAI,None,405d8dad-5c99-4c91-90d3-82813ade1ff1,TRUE,no,single,,0x6b175474e89094c44da98b954eedeac495271d0f
116,BSC,helio-protocol,BNB,None,b4210a91-1140-4c3c-b69f-a20240d1596f,FALSE,no,single,,None
117,Ethereum,uniswap-v3,WETH-SETH2,None,987fac28-0ff4-41d8-a3db-0c39810b0a38,FALSE,no,multi,0.30%,"0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, 0xfe2e637202056d30016725477c5da089ab0a043a"
118,Ethereum,uniswap-v3,USDC-USDT,None,e737d721-f45c-40f0-9793-9f56261862b9,TRUE,no,multi,0.01%,"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48, 0xdac17f958d2ee523a2206206994597c13d831ec7"
