row_num,chain,project,symbol,rewardTokens,pool,stablecoin,ilRisk,exposure,poolMeta,underlyingTokens
6603,Arbitrum,swapfish,FISH-USDC,0xb348B87b23D5977E2948E6f36ca07E1EC94d7328,1fe58133-415c-4846-a085-f99da94c35fe,FALSE,yes,multi,,"0xb348B87b23D5977E2948E6f36ca07E1EC94d7328, 0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8"
6604,Solana,solend,FIDA,,251b0c56-6269-4ef6-bca5-a58760cf5f44,FALSE,no,single,Bonfida Pool,EchesyfXePKdLtoiZSL8pBe8Myagyy8ZRqsACNCFGnvp
6605,Polygon,harvest-finance,GNOME-ETH,None,0c9fabeb-1198-4a24-b0a9-52aba186e8bd,FALSE,yes,multi,,None
6606,Ethereum,thorchain,HEGIC-RUNE,None,29e4ec00-c586-45b5-95ee-e3e79e1da339,FALSE,yes,multi,,None
6607,BSC,autofarm,USDT-DOT,None,b0770b32-d650-49a8-bebc-3b7f1a999c23,FALSE,yes,multi,MDEX,0xFf44e10662E1CD4f7AfE399144636c74B0D05D80
6608,Solana,raydium,STR-USDC,None,a68be179-0c88-4e57-b6b8-7aca4c735157,FALSE,yes,multi,,None
6609,BSC,beefy,BUSD-USDC,None,92ae91ce-b98a-4f3a-8c8f-cd2cbd46c692,TRUE,no,multi,Apeswap,None
6610,Polygon,gamma,WETH-QUICK,0x958d208cdf087843e9ad98d23823d32e17d723a1,bbb5918e-874e-4715-8f64-f9eda3a6431c,FALSE,yes,multi,,"0x7ceb23fd6bc0add59e62ac25578270cff1b9f619, 0xb5c064f955d8e7f38fe0460c556a72987494ee17"
6611,Arbitrum,badger-dao,BADGER-WETH,,2d774a9c-1949-4f65-9d93-9161bebe9d2f,FALSE,yes,multi,,"0x82aF49447D8a07e3bd95BD0d56f35241523fBab1, 0xBfa641051Ba0a0Ad1b0AcF549a89536A0D76472E"
6612,Osmosis,osmosis-dex,REGEN-ATOM,None,391eae72-be6b-4c52-99b5-6c5b3a18b2be,FALSE,yes,multi,1day,None
6613,Osmosis,osmosis-dex,REGEN-ATOM,None,a11b7a99-0030-456e-975d-27ae93d0f6fd,FALSE,yes,multi,7day,None
6614,Arbitrum,uniswap-v3,WETH-AAVE,None,cf4dfbec-35ac-451a-9da6-8d652715f506,FALSE,yes,multi,1%,"0x82af49447d8a07e3bd95bd0d56f35241523fbab1, 0xba5ddd1f9d7f570dc94a51479a000e3bce967196"
6615,Ethereum,liqee,ETH,None,df228a7a-093d-4e0c-a723-dd325e9f0901,FALSE,no,single,,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
6616,Ethereum,curve,MIM-UST,,5cf0794c-dd32-4e9e-b429-2a4eca43cc92,FALSE,yes,multi,,"0x99D8a9C45b2ecA8864373A26D1459e3Dff1e17F3, 0xa47c8bf37f92aBed4A126BDA807A7b7498661acD"
6617,Ethereum,sushiswap,MCAT17-WETH,,732ae4b5-952f-42e1-b641-474566e11dc0,FALSE,yes,multi,,"0xa8b42c82a628dc43c2c2285205313e5106ea2853, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"
6618,BSC,beefy,CEEK-BNB,None,a46235b9-58d4-4c51-a802-5cbc1de00e22,FALSE,yes,multi,Apeswap,None
6619,Solana,orca,HBB-USDC,None,7ccab7bc-25b5-44e6-82ea-c1f87a2eff40,FALSE,yes,multi,Aquafarm,None
6620,BSC,beefy,ETH-BNB,None,5c8cde71-48aa-494c-84a7-c8caaf901fd7,FALSE,yes,multi,Apeswap,None
