protocol_slug,protocol_id,size_mb,status_code,error,retries
gondola-finance,314,0.64,200,,0
tulip-protocol,315,0.48,200,,0
secretswap,316,0.43,200,,0
hyperjump,317,6.57,200,,0
dfyn-network,318,9.78,200,,0
convex-finance,319,21.42,200,,0
depth,320,0.44,200,,0
ram-protocol,321,0.97,200,,0
yogi-finance,322,0.18,200,,0
fluity,323,0.33,200,,0
unicly,324,0.7,200,,0
mochiswap,325,3.16,200,,0
beefy,326,7.98,200,,0
youswap,327,5.83,200,,0
steakbank-finance,328,0.42,200,,0
sovryn-dex,329,0.92,200,,0
aquarius,330,0.37,200,,0
moneyonchain,331,0.34,200,,0
bao-masterchef-v1,332,19.38,200,,0
o3-swap,333,0.75,200,,0
mdex,334,2.55,200,,0
flashstake-old,335,0.55,200,,0
sifchain,336,0.32,200,,0
gmx-v1,337,2.4,200,,0
inverse-finance-frontier,338,1.71,200,,0
lien,339,0.39,200,,0
olympus-dao,340,0.69,200,,0
nsure,341,0.5,200,,0
complifi,342,1.26,200,,0
impermax-v2,343,13.93,200,,0
zkswap,344,3.38,200,,0
alpaca-leveraged-yield-farming,345,4.51,200,,0
yieldly,346,0.24,200,,0
abracadabra-spell,347,2.92,200,,0
filda,348,9.16,200,,0
injective-bridge,349,2.9,200,,0
cvi-finance,350,2.58,200,,0
gravity-finance,351,1.67,200,,0
iron-finance,352,3.11,200,,0
armor,353,0.97,200,,0
insurace,354,3.17,200,,0
gamma,355,19.99,200,,0
dopple-finance,356,1.43,200,,0
parrot-protocol,358,1.72,200,,0
frax,359,2.42,200,,0
whiteheart,361,0.62,200,,0
perpetual-protocol,362,1.1,200,,0
xdollar,363,1.94,200,,0
volmex,364,1.03,200,,0
charm-finance-v1,365,0.71,200,,0
dfx-v2,366,1.75,200,,0
pinkswap,367,0.98,200,,0
channels-finance,368,7.06,200,,0
yfdai,369,1.08,200,,0
merlin,370,0.62,200,,0
kokomoswap,371,1.03,200,,0
rabbit-finance,372,1.2,200,,0
biswap-v2,373,16.9,200,,0
kine-finance,374,3.24,200,,0
nerve-staking,375,0.13,200,,0
tomb,376,1.85,200,,0
ethernity-chain,377,0.52,200,,0
makiswap,378,2.03,200,,0
cardstarter,379,1.01,200,,0
lendhub,380,2.86,200,,0
premia-v2,381,3.49,200,,0
pendle,382,6.86,200,,0
osmosis-dex,383,5.45,200,,0
firebird,384,2.84,200,,0
meteora-pools,385,23.21,200,,0
polyquity,386,0.46,200,,0
bearnfi,387,2.03,200,,0
nowswap,388,0.37,200,,0
adamant-finance,389,8.58,200,,0
qilin,390,0.36,200,,0
pantherswap,391,2.63,200,,0
wardenswap,392,2.59,200,,0
apy-finance,393,0.44,200,,0
reaper-farm,394,2.7,200,,0
waka-finance,395,0.89,200,,0
polydex,396,1.43,200,,0
shibaswap,397,8.04,200,,0
apeswap-amm,398,26.1,200,,0
geyser,399,1.67,200,,0
amun,400,1.2,200,,0
aperocket,401,0.66,200,,0
hunny-finance,402,2.12,200,,0
liquid-driver,403,3.81,200,,0
bxh,404,3.09,200,,0
tokenlon-amm,405,15.69,200,,0
delv-yield,406,1.53,200,,0
mars-poolin,407,0.65,200,,0
jetfuel-finance,408,4.23,200,,0
cafeswap,409,3.87,200,,0
swamp-finance,410,8.69,200,,0
pippi,411,1.4,200,,0
thorchain,412,3.18,200,,0
spectrum-protocol,413,0.55,200,,0
treedefi,414,1.5,200,,0
naos-finance,415,2.29,200,,0
westarter,416,0.5,200,,0
solyard,417,0.72,200,,0
saber,419,5.72,200,,0
elk,420,16.27,200,,0
paint-swap,421,1.64,200,,0
bunicorn,422,0.81,200,,0
deri-protocol,423,1.28,200,,0
tranchess-yield,425,1.54,200,,0
mint-club-v1,426,0.55,200,,0
origin-dollar,427,1.0,200,,0
dinoswap,428,2.76,200,,0
bamboodefi,429,2.42,200,,0
acumen,430,0.34,200,,0
